response_id,participant_id,claim_id,evidence
77,9,10,"The video sound comes from different people, and the video seems to the first kind of fake one."
78,9,12,"The man in the video is from WSU, which is in USA. But the title is on Canadian apple."
79,9,15,NA
80,10,0,I dont think the traffic jam in the last part of the video is due to the protests.
81,10,2,Video and audio depicts and explains a discovery in the pyramids of Africa/Egypt but the title refers to Rome.
82,10,4,"Video was taken in the Mexican Pyramids, yet the title and description refer to the Egyptian Pyramids."
83,10,7,NA
84,10,8,"Video showcases a natural disaster in Naples, Florida, but title and description refer to Naples, Italy."
85,10,10,"It reads hurricane in Asia, but I am almost sure the video was filmed in the US."
86,10,12,"Video, title and description indicate the apples are Canadian, but the audio informs the new breed of apples come from Washington State, US."
87,10,15,NA
88,11,1,NA
89,11,2,it's fake location
90,11,4,Location
91,11,6,its another ceremony 
92,11,8,becouse is in Florida USA no in Italy
93,11,11,NA
94,11,13,NA
95,11,15,NA
96,12,0,The metadata is not in sync with the visual
97,12,3,NA
98,12,4,"The video is fake, it showed two difference locations. There is inconsistency between the audio and and the video."
99,12,6,"The video showing Beyonce singing the National Anthem and another video was introduced showing a large crowd. Also, there was inconsistency between audio  and Visual and components. "
100,12,9,NA
101,12,11,NA
102,12,13,NA
103,12,15,NA
104,13,0,"In the scene where 2 men are having a fight, we can't hear their screams and the audio is actually almost silent with very little noise during that scene. The cars scene does not have much to do with troops."
105,13,2,Surely fake. This is not Rome! The metadata is not correct. The visuals are showing Egypt or some neighbouring country of Egypt in Africa.
106,13,4,He mentions that he is in Mexico city while talking but metadata says Egypt.
107,13,6,This is not Beyonce's sound. It sounds so bad!
108,13,8,Metdata does not match visuals. One scene of the visual includes a picture of a map and it points at a city in Florida but the metadata mentions Italy.
109,13,10,"The audio does not seem very synched with visuals. If the reporter is actually capturing a horrible tornado there must be more noise in the background. Also, why do we hear different reporters reporting but the visuals of different reporters are very simillar?!"
110,13,12,"Although it mentions working in the Washington state university but it says that he began his search there, maybe he decided to move to Canada afterwards to find the apple he wanted."
111,13,15,NA
112,14,1,NA
113,14,3,NA
114,14,4,metadata inconsistency. person in the video said he was in mexico and the metadata says egypt
115,14,6,it has audio inconsistency.
116,14,9,NA
117,14,10,Audio and meta data inconsistency. Audio is about hurricane Irma while the metadata and the video are about tornados
118,14,13,NA
119,14,15,NA
120,15,0,limited information and collect just come pictures and provide one news 
121,15,2,NA
122,15,5,NA
123,15,7,NA
124,15,8,NA
125,15,11,NA
126,15,12,based on the rate of viewers and using older man as artist
127,15,15,NA
128,16,0,"visual inconsistency, 2 diffrent videos stiched"
129,16,3,NA
130,16,4,Its a central mexico city - correct; we are here at the pyramids..wrong; Description - wrong; Visual and Audio inconsistency
131,16,6,"video inconsistency; 2 videos stiched, crowd cheering is from another video"
132,16,9,NA
133,16,10,EF - 4 Tornado is not same as Hurricane IRMA; Audio inconsistency
134,16,12,"sweet and tastiere; crispy , juicy and flavourable; Audio inconsistency with description"
135,16,15,NA
